source_quipu,consumer_quipu,hops,kind
4c89b5df1567fa02af3fb13430b01829ef63e4ec1fa0e9c0addba45c4a6ba258,1f63558bdee2f5ead118083ff0af0d5e266acaf347938c5ed2722b6ced1248e3,3,funding
a4bb23790cc0bbcbcf7436a379c687d52c45e10904e769a08d4df71fd54bd8ae,1f63558bdee2f5ead118083ff0af0d5e266acaf347938c5ed2722b6ced1248e3,4,funding
9cc887c578f809d45c65114a2345b1701c805defc050beb1771e27a555bd6ce3,1f63558bdee2f5ead118083ff0af0d5e266acaf347938c5ed2722b6ced1248e3,4,funding
03a08c378859100c7caad72b808cc46874b026673bc3c04831282fe56690357b,449e67f4a2e948f044e1a32662b58ccedad3cf8e85a742cc45b6b6541e47b5d7,4,funding
b0263c0f77a470567c5ef1ffa78f6879b2d9ae0458bae28836a5914ed15c570e,449e67f4a2e948f044e1a32662b58ccedad3cf8e85a742cc45b6b6541e47b5d7,4,funding
d442073b33f2a4d04292853abb39e171ae593fcc288a1e4fc2518d5d7a7e5985,449e67f4a2e948f044e1a32662b58ccedad3cf8e85a742cc45b6b6541e47b5d7,5,funding
03a08c378859100c7caad72b808cc46874b026673bc3c04831282fe56690357b,8306eda8433bb95d24977d62042b65aae664947c670046887d6662bd723eba3c,4,funding
b0263c0f77a470567c5ef1ffa78f6879b2d9ae0458bae28836a5914ed15c570e,8306eda8433bb95d24977d62042b65aae664947c670046887d6662bd723eba3c,4,funding
d442073b33f2a4d04292853abb39e171ae593fcc288a1e4fc2518d5d7a7e5985,8306eda8433bb95d24977d62042b65aae664947c670046887d6662bd723eba3c,5,funding
1f63558bdee2f5ead118083ff0af0d5e266acaf347938c5ed2722b6ced1248e3,26671514416913719c560a4ac1246e333e410d2503e298a8a6852031c3285888,5,funding
8306eda8433bb95d24977d62042b65aae664947c670046887d6662bd723eba3c,6de4688a945fb03f41f9b1139c83f5099dd309378348398d4b52ce1c1d12a489,3,funding
449e67f4a2e948f044e1a32662b58ccedad3cf8e85a742cc45b6b6541e47b5d7,6de4688a945fb03f41f9b1139c83f5099dd309378348398d4b52ce1c1d12a489,4,funding
26671514416913719c560a4ac1246e333e410d2503e298a8a6852031c3285888,fcff6aa28113cfa1a0323dd41f8a65a88d0bc372601fdff0eb177825023e7826,3,funding
6e10058f59cb709bdcaaf994b1dab448053ae482970155f4c34a60c20b89f366,34316f64559d5825e3ecb6a617af7f3650e8563ca23a6d4e47089e7feb1d30d1,7,funding
5dc8ed119de6e5470f6239d712a9dda9af106249c1023eec60aebb22aca102fe,34316f64559d5825e3ecb6a617af7f3650e8563ca23a6d4e47089e7feb1d30d1,7,funding
ebaefd3e99b46ce1c6282209134f07990524ffe4a5bf1f2a6905905be0c0eda6,34316f64559d5825e3ecb6a617af7f3650e8563ca23a6d4e47089e7feb1d30d1,7,funding
ac915b7bdf9f37b2eafaf9f9b6c6c974220d5336b39237c3127661d0dc399ce8,34316f64559d5825e3ecb6a617af7f3650e8563ca23a6d4e47089e7feb1d30d1,7,funding
e00a1ace3afd59c005143a6354a6ff42e2b0dda246d3213a7a40836d3375600a,34316f64559d5825e3ecb6a617af7f3650e8563ca23a6d4e47089e7feb1d30d1,7,funding
62c2b42750c8ae44309cee68e7c40ae7639144124f97d6db0fc0d13df13751f0,34316f64559d5825e3ecb6a617af7f3650e8563ca23a6d4e47089e7feb1d30d1,7,funding
762043aaaed3fd92d3e129aa94ffb53753ad0e98a58f3fd7ab816379c13de9c4,34316f64559d5825e3ecb6a617af7f3650e8563ca23a6d4e47089e7feb1d30d1,7,funding
77cd55bded8ea5ea5757e7526512cbfe276d89c88d1b01206f968ea8ad147061,34316f64559d5825e3ecb6a617af7f3650e8563ca23a6d4e47089e7feb1d30d1,7,funding
1fa3a4b90af9b7ac61cb7713b3fe26d20d2e9d65da86ac00343e4115438bddb8,34316f64559d5825e3ecb6a617af7f3650e8563ca23a6d4e47089e7feb1d30d1,7,funding
f2da803b67290489b001aefb517449ca784b532dda0b398a5490b5f9ce4e393e,34316f64559d5825e3ecb6a617af7f3650e8563ca23a6d4e47089e7feb1d30d1,7,funding
8d1e3b6c89f8bfc1f4e706e2cbe6774919126e9754b849e4bd673e82a0271ddb,34316f64559d5825e3ecb6a617af7f3650e8563ca23a6d4e47089e7feb1d30d1,7,funding
b4d023875aa649440c34c05095437b4cd43c5c1eddfd53d6829c40ea1f2a1023,34316f64559d5825e3ecb6a617af7f3650e8563ca23a6d4e47089e7feb1d30d1,7,funding
9b845cdeb1e8a7ab8d364fa18c5c8f7bcf699471bbd0d2a302ac16efb748626f,34316f64559d5825e3ecb6a617af7f3650e8563ca23a6d4e47089e7feb1d30d1,7,funding
1aeb468d341b33efc75f1b70bbec1740dc9f08bb0b8ace621c2f6ca0dd8129f5,34316f64559d5825e3ecb6a617af7f3650e8563ca23a6d4e47089e7feb1d30d1,7,funding
a8949b8248c476c4e93cb1c419d4da176f133b7862f5bdc26fede843194a68d6,34316f64559d5825e3ecb6a617af7f3650e8563ca23a6d4e47089e7feb1d30d1,7,funding
83baf5826ffe4971e6e01fa4cf8d42f2334f69adcf627b34b365648dec80457d,34316f64559d5825e3ecb6a617af7f3650e8563ca23a6d4e47089e7feb1d30d1,7,funding
6f46b42033dea9dc5a3fb2a8b6b141c2eac6316872ea9792c6f50b45deab9907,34316f64559d5825e3ecb6a617af7f3650e8563ca23a6d4e47089e7feb1d30d1,7,funding
